 mdot  qb   x     z       g     n_bursts  rate       dt         energy        peak          u_rate    u_dt      u_energy      u_peak      
 0.12  0.0  0.67  0.0050  1.86  21         6.749504   3.555817  7.488913e+39  2.305704e+38  0.189342  0.099750  2.528819e+38  2.339754e+37
 0.12  0.2  0.67  0.0050  1.86  21         8.295077   2.893282  6.145844e+39  1.785621e+38  0.169902  0.059261  1.566738e+38  1.498930e+37
 0.14  0.0  0.67  0.0050  1.86  23         7.909319   3.034395  7.531257e+39  2.272785e+38  0.162168  0.062215  1.570507e+38  1.792886e+37
 0.14  0.2  0.67  0.0050  1.86  21         9.949521   2.412176  6.014677e+39  1.619734e+38  0.185563  0.044988  1.503046e+38  1.540431e+37
 0.16  0.0  0.67  0.0050  1.86  22         9.169864   2.617269  7.449051e+39  2.138580e+38  0.185597  0.052973  1.608213e+38  1.731894e+37
 0.16  0.2  0.67  0.0050  1.86  21        11.658427   2.058597  5.900055e+39  1.475272e+38  0.228854  0.040410  1.460578e+38  8.288436e+36
 0.18  0.0  0.67  0.0050  1.86  22        10.524267   2.280444  7.355554e+39  1.957197e+38  0.170662  0.036980  1.355577e+38  1.143213e+37
 0.18  0.2  0.67  0.0050  1.86  21        13.307414   1.803506  5.851102e+39  1.430934e+38  0.203140  0.027531  1.256067e+38  9.796409e+36
 0.08  0.0  0.67  0.0075  1.86  23         4.846105   4.952431  6.654903e+39  2.504295e+38  0.190539  0.194720  1.768688e+38  2.126518e+37
 0.08  0.2  0.67  0.0075  1.86  22         5.612925   4.275846  5.755244e+39  1.954976e+38  0.215594  0.164236  2.399674e+38  2.192644e+37
 0.10  0.0  0.67  0.0075  1.86  23         6.014354   3.990454  6.805879e+39  2.407520e+38  0.156645  0.103932  2.322023e+38  2.925783e+37
 0.10  0.2  0.67  0.0075  1.86  21         7.183783   3.340858  5.731159e+39  1.774629e+38  0.151963  0.070671  1.997992e+38  2.118246e+37
 0.12  0.0  0.67  0.0075  1.86  21         7.329335   3.274513  6.813609e+39  2.234827e+38  0.173961  0.077720  1.637720e+38  2.205310e+37
 0.12  0.2  0.67  0.0075  1.86  21         8.891249   2.699283  5.641706e+39  1.625482e+38  0.194441  0.059030  1.795396e+38  1.638962e+37
 0.14  0.0  0.67  0.0075  1.86  21         8.655498   2.772804  6.794570e+39  2.035298e+38  0.179683  0.057562  1.784672e+38  1.553819e+37
 0.14  0.2  0.67  0.0075  1.86  21        10.524459   2.280402  5.624394e+39  1.555867e+38  0.219674  0.047598  1.251603e+38  1.112221e+37
 0.16  0.0  0.67  0.0075  1.86  21         9.949785   2.412112  6.797418e+39  1.980329e+38  0.155358  0.037663  1.447905e+38  1.507405e+37
 0.16  0.2  0.67  0.0075  1.86  21        12.185695   1.969522  5.585923e+39  1.482869e+38  0.199662  0.032271  1.475499e+38  9.826743e+36
 0.18  0.0  0.67  0.0075  1.86  21        11.219645   2.139105  6.833970e+39  1.922601e+38  0.136948  0.026110  1.355424e+38  1.345699e+37
 0.18  0.2  0.67  0.0075  1.86  21        13.817173   1.736969  5.581071e+39  1.440179e+38  0.194591  0.024462  1.199889e+38  8.926033e+36
